customerID,Churn,Genero,Idoso,Parceiro,Dependentes,Meses_Cliente,Servico_Celular,Linhas_Adicionais,Servico_Internet,Seguranca_Online,Backup_Online,Protecao_Dispositivo,Suporte_Tecnico,TV_Streaming,Filmes_Streaming,Contrato,Faturamento_Sem_Papel,Metodo_de_Pagamento,Faturamento_Mensal,Faturamento_Total,Contas_Diarias,Churn_Num
0017-IUDMW,Não,Feminino,Não,Sim,Sim,72,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,2 Anos,Sim,Cartão de Crédito (Automático),116.8,8456.75,3.893333333333333,0
0018-NYROU,Não,Feminino,Não,Sim,Não,5,Sim,Não,Fibra Óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque Eletrônico,68.95,351.5,2.2983333333333333,0
0019-EFAEP,Não,Feminino,Não,Não,Não,72,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Não,Sim,Não,2 Anos,Sim,Transferência Bancária (Automática),101.3,7261.25,3.3766666666666665,0
0019-GFNTW,Não,Feminino,Não,Não,Não,56,Não,Sem serviço de telefone,DSL,Sim,Sim,Sim,Sim,Não,Não,2 Anos,Não,Transferência Bancária (Automática),45.05,2560.1,1.5016666666666665,0
0020-INWCK,Não,Feminino,Não,Sim,Sim,71,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Não,Sim,2 Anos,Sim,Cartão de Crédito (Automático),95.75,6849.4,3.191666666666667,0
0020-JDNXP,Não,Feminino,Não,Sim,Sim,34,Não,Sem serviço de telefone,DSL,Sim,Não,Sim,Sim,Sim,Sim,1 Ano,Não,Cheque Enviado,61.25,1993.2,2.0416666666666665,0
0021-IKXGC,Não,Feminino,Sim,Não,Não,1,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque Eletrônico,72.1,72.1,2.4033333333333333,0
0022-TCJCI,Sim,Masculino,Sim,Não,Não,45,Sim,Não,DSL,Sim,Não,Sim,Não,Não,Sim,1 Ano,Não,Cartão de Crédito (Automático),62.7,2791.5,2.0900000000000003,1
0023-HGHWL,Sim,Masculino,Sim,Não,Não,1,Não,Sem serviço de telefone,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque Eletrônico,25.1,25.1,0.8366666666666667,1
0023-UYUPN,Não,Feminino,Sim,Sim,Não,50,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,1 Ano,Não,Cheque Eletrônico,25.2,1306.3,0.84,0
0023-XUOPT,Sim,Feminino,Não,Sim,Não,13,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Sim,Não,Mensal,Não,Cheque Eletrônico,94.1,1215.6,3.1366666666666663,1
0027-KWYKW,Não,Feminino,Não,Sim,Sim,23,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Cheque Eletrônico,83.75,1849.95,2.7916666666666665,0
0030-FNXPP,Não,Feminino,Não,Não,Não,3,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Cheque Enviado,19.85,57.2,0.6616666666666667,0
0031-PVLZI,Sim,Feminino,Não,Sim,Sim,4,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Cheque Enviado,20.35,76.35,0.6783333333333333,1
0032-PGELS,Sim,Feminino,Não,Sim,Sim,1,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Não,Transferência Bancária (Automática),30.5,30.5,1.0166666666666666,1
0036-IHMOT,Não,Feminino,Não,Sim,Sim,55,Sim,Não,Fibra Óptica,Não,Sim,Sim,Sim,Sim,Sim,1 Ano,Sim,Transferência Bancária (Automática),103.7,5656.75,3.4566666666666666,0
0040-HALCW,Não,Masculino,Não,Sim,Sim,54,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,2 Anos,Não,Cartão de Crédito (Automático),20.4,1090.6,0.6799999999999999,0
0042-JVWOJ,Não,Masculino,Não,Não,Não,26,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,1 Ano,Sim,Transferência Bancária (Automática),19.6,471.85,0.6533333333333334,0
0042-RLHYP,Não,Feminino,Não,Sim,Sim,69,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,2 Anos,Não,Transferência Bancária (Automática),19.7,1396.9,0.6566666666666666,0
0048-LUMLS,Não,Masculino,Não,Sim,Sim,37,Sim,Não,Fibra Óptica,Não,Não,Não,Não,Sim,Sim,1 Ano,Não,Cartão de Crédito (Automático),91.2,3247.55,3.04,0
0048-PIHNL,Não,Feminino,Não,Sim,Não,49,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,1 Ano,Não,Transferência Bancária (Automática),20.45,900.9,0.6816666666666666,0
0052-DCKON,Não,Masculino,Não,Sim,Não,66,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,1 Ano,Não,Transferência Bancária (Automática),115.8,7942.15,3.86,0
0052-YNYOT,Não,Feminino,Não,Não,Não,67,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,1 Ano,Não,Cheque Eletrônico,20.55,1343.4,0.685,0
0056-EPFBG,Não,Masculino,Não,Sim,Sim,20,Não,Sem serviço de telefone,DSL,Sim,Não,Sim,Sim,Não,Não,2 Anos,Sim,Cartão de Crédito (Automático),39.4,825.4,1.3133333333333332,0
0057-QBUQH,Não,Feminino,Não,Não,Sim,43,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,2 Anos,Sim,Cheque Eletrônico,25.1,1070.15,0.8366666666666667,0
0058-EVZWM,Não,Feminino,Não,Sim,Não,55,Sim,Sim,Fibra Óptica,Sim,Não,Não,Não,Sim,Não,Mensal,Sim,Transferência Bancária (Automática),89.8,4959.6,2.993333333333333,0
0060-FUALY,Não,Feminino,Não,Sim,Não,59,Sim,Sim,Fibra Óptica,Sim,Sim,Não,Não,Sim,Não,Mensal,Sim,Cheque Eletrônico,94.75,5597.65,3.158333333333333,0
0064-SUDOG,Não,Feminino,Não,Sim,Sim,12,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,2 Anos,Não,Transferência Bancária (Automática),20.3,224.5,0.6766666666666666,0
0064-YIJGF,Não,Masculino,Não,Sim,Sim,27,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Transferência Bancária (Automática),75.75,1929,2.525,0
0067-DKWBL,Sim,Masculino,Sim,Não,Não,2,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Sim,Cheque Eletrônico,49.25,91.1,1.6416666666666666,1
0068-FIGTF,Não,Feminino,Não,Não,Não,27,Sim,Não,DSL,Não,Sim,Sim,Sim,Sim,Sim,1 Ano,Não,Cheque Enviado,78.2,2078.95,2.606666666666667,0
0071-NDAFP,Não,Masculino,Não,Sim,Sim,25,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,2 Anos,Não,Cartão de Crédito (Automático),25.5,630.6,0.85,0
0074-HDKDG,Não,Masculino,Não,Sim,Sim,25,Sim,Não,DSL,Sim,Sim,Sim,Não,Não,Não,1 Ano,Sim,Transferência Bancária (Automática),61.6,1611,2.0533333333333332,0
0076-LVEPS,Não,Masculino,Não,Não,Sim,29,Não,Sem serviço de telefone,DSL,Sim,Sim,Sim,Sim,Não,Não,Mensal,Sim,Cheque Enviado,45.0,1242.45,1.5,0
0078-XZMHT,Não,Masculino,Não,Sim,Não,72,Sim,Sim,DSL,Não,Sim,Sim,Sim,Sim,Sim,2 Anos,Sim,Transferência Bancária (Automática),85.15,6316.2,2.8383333333333334,0
0080-EMYVY,Não,Feminino,Não,Não,Não,14,Sim,Não,DSL,Não,Sim,Não,Não,Não,Não,1 Ano,Não,Cartão de Crédito (Automático),51.45,727.85,1.715,0
0080-OROZO,Não,Feminino,Não,Não,Não,35,Sim,Não,Fibra Óptica,Não,Não,Sim,Sim,Sim,Sim,1 Ano,Sim,Cheque Eletrônico,99.25,3532,3.308333333333333,0
0082-LDZUE,Não,Masculino,Não,Não,Não,1,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque Enviado,44.3,44.3,1.4766666666666666,0
0082-OQIQY,Não,Masculino,Não,Não,Não,29,Sim,Não,Fibra Óptica,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cheque Eletrônico,94.2,2607.6,3.14,0
0083-PIVIK,Não,Masculino,Não,Não,Não,64,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Não,1 Ano,Não,Cheque Eletrônico,81.25,5567.55,2.7083333333333335,0
0089-IIQKO,Não,Feminino,Não,Sim,Sim,39,Sim,Sim,Fibra Óptica,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cartão de Crédito (Automático),99.95,3767.4,3.3316666666666666,0
0093-EXYQL,Não,Feminino,Sim,Não,Não,40,Sim,Não,Fibra Óptica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Cheque Eletrônico,91.55,3673.6,3.0516666666666667,0
0093-XWZFY,Sim,Masculino,Não,Não,Não,40,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Cartão de Crédito (Automático),104.5,4036.85,3.4833333333333334,1
0094-OIFMO,Sim,Feminino,Sim,Não,Não,11,Sim,Não,Fibra Óptica,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque Eletrônico,95.0,1120.3,3.1666666666666665,1
0096-BXERS,Não,Feminino,Não,Sim,Não,6,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque Eletrônico,50.35,314.55,1.6783333333333335,0
0096-FCPUF,Não,Masculino,Não,Não,Não,30,Sim,Sim,DSL,Sim,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque Enviado,64.5,1888.45,2.15,0
0098-BOWSO,Não,Masculino,Não,Não,Não,27,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Sim,Cheque Eletrônico,19.4,529.8,0.6466666666666666,0
0100-DUVFC,Não,Masculino,Sim,Sim,Não,70,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Sim,Sim,1 Ano,Sim,Cheque Eletrônico,104.8,7308.95,3.493333333333333,0
0103-CSITQ,Não,Feminino,Não,Sim,Não,57,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Sim,Sim,Sim,1 Ano,Sim,Transferência Bancária (Automática),109.4,6252.7,3.646666666666667,0
0104-PPXDV,Não,Masculino,Não,Sim,Não,58,Sim,Não,DSL,Não,Não,Sim,Não,Não,Não,1 Ano,Não,Cartão de Crédito (Automático),50.3,2878.55,1.6766666666666665,0
0106-GHRQR,Não,Masculino,Não,Não,Não,16,Sim,Sim,DSL,Não,Sim,Sim,Não,Não,Sim,Mensal,Sim,Transferência Bancária (Automática),71.4,1212.1,2.3800000000000003,0
0106-UGRDO,Não,Feminino,Não,Sim,Não,69,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,2 Anos,Sim,Cheque Eletrônico,116.0,8182.85,3.8666666666666667,0
0107-WESLM,Sim,Masculino,Não,Não,Não,1,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Sim,Cheque Eletrônico,19.85,19.85,0.6616666666666667,1
0107-YHINA,Sim,Masculino,Não,Não,Sim,1,Sim,Sim,Fibra Óptica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Cheque Eletrônico,99.75,99.75,3.325,1
0111-KLBQG,Não,Masculino,Sim,Sim,Sim,32,Sim,Não,Fibra Óptica,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque Enviado,93.95,2861.45,3.131666666666667,0
0112-QAWRZ,Não,Masculino,Não,Sim,Sim,16,Sim,Sim,Fibra Óptica,Não,Não,Sim,Não,Sim,Não,Mensal,Sim,Transferência Bancária (Automática),90.8,1442.2,3.0266666666666664,0
0112-QWPNC,Sim,Masculino,Não,Sim,Não,49,Sim,Sim,DSL,Sim,Não,Sim,Sim,Sim,Sim,1 Ano,Não,Cheque Eletrônico,84.35,4059.35,2.8116666666666665,1
0114-IGABW,Não,Feminino,Não,Sim,Não,71,Não,Sem serviço de telefone,DSL,Não,Sim,Sim,Sim,Sim,Sim,2 Anos,Não,Transferência Bancária (Automática),58.25,4145.9,1.9416666666666667,0
0114-PEGZZ,Não,Feminino,Não,Não,Não,33,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Não,Cheque Eletrônico,107.55,3645.5,3.585,0
0114-RSRRW,Não,Feminino,Não,Sim,Não,10,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Sim,Transferência Bancária (Automática),19.95,187.75,0.6649999999999999,0
0115-TFERT,Sim,Masculino,Não,Sim,Não,21,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Cheque Eletrônico,111.2,2317.1,3.7066666666666666,1
0117-LFRMW,Sim,Masculino,Não,Sim,Sim,37,Não,Sem serviço de telefone,DSL,Sim,Sim,Sim,Não,Não,Não,Mensal,Não,Transferência Bancária (Automática),40.2,1448.8,1.34,1
0118-JPNOY,Não,Feminino,Sim,Não,Não,26,Sim,Não,Fibra Óptica,Sim,Não,Não,Não,Sim,Não,Mensal,Sim,Cartão de Crédito (Automático),85.8,2193.65,2.86,0
0121-SNYRK,Não,Masculino,Não,Não,Não,50,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Não,Não,1 Ano,Sim,Cheque Enviado,35.4,1748.9,1.18,0
0122-OAHPZ,Sim,Feminino,Não,Não,Não,7,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque Eletrônico,73.85,511.25,2.4616666666666664,1
0123-CRBRT,Não,Feminino,Não,Sim,Sim,61,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,2 Anos,Não,Cheque Enviado,88.1,5526.75,2.9366666666666665,0
0125-LZQXK,Sim,Masculino,Não,Não,Não,15,Sim,Não,Fibra Óptica,Não,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Cheque Eletrônico,101.35,1553.95,3.378333333333333,1
0128-MKWSG,Não,Feminino,Não,Não,Sim,26,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Não,Sim,Mensal,Não,Cheque Enviado,45.8,1147,1.5266666666666666,0
0129-KPTWJ,Não,Masculino,Não,Sim,Não,72,Sim,Não,Fibra Óptica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Cheque Eletrônico,94.65,6747.35,3.1550000000000002,0
0129-QMPDR,Não,Masculino,Não,Sim,Sim,44,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,1 Ano,Sim,Transferência Bancária (Automática),20.5,865.05,0.6833333333333333,0
0130-SXOUN,Não,Masculino,Não,Não,Não,66,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Não,Sim,Mensal,Não,Cartão de Crédito (Automático),89.4,5976.9,2.98,0
0133-BMFZO,Sim,Feminino,Não,Não,Não,2,Sim,Não,Fibra Óptica,Sim,Sim,Não,Sim,Não,Não,Mensal,Sim,Cheque Eletrônico,86.25,181.65,2.875,1
0134-XWXCE,Não,Feminino,Sim,Não,Não,44,Sim,Não,DSL,Não,Não,Sim,Sim,Sim,Sim,1 Ano,Não,Transferência Bancária (Automática),74.85,3268.05,2.4949999999999997,0
0135-NMXAP,Sim,Feminino,Não,Não,Não,12,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Sim,Não,Mensal,Sim,Transferência Bancária (Automática),89.75,1052.4,2.9916666666666667,1
0136-IFMYD,Não,Masculino,Sim,Sim,Não,69,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Sim,Sim,Sim,2 Anos,Sim,Cheque Eletrônico,109.95,7634.25,3.665,0
0137-OCGAB,Sim,Feminino,Não,Não,Não,1,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Não,Não,Mensal,Sim,Cheque Enviado,80.2,80.2,2.6733333333333333,1
0137-UDEUO,Sim,Feminino,Não,Não,Não,3,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Cheque Enviado,19.85,63.75,0.6616666666666667,1
0139-IVFJG,Não,Feminino,Não,Sim,Não,2,Sim,Não,Fibra Óptica,Sim,Sim,Não,Não,Sim,Não,Mensal,Não,Cheque Eletrônico,90.35,190.5,3.0116666666666663,0
0141-YEAYS,Não,Feminino,Sim,Não,Não,27,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Não,Não,Mensal,Sim,Transferência Bancária (Automática),86.45,2401.05,2.881666666666667,0
0142-GVYSN,Não,Masculino,Não,Não,Não,26,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Sim,Cheque Eletrônico,20.3,511.25,0.6766666666666666,0
0147-ESWWR,Não,Feminino,Sim,Sim,Não,39,Sim,Sim,Fibra Óptica,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cheque Eletrônico,101.25,3949.15,3.375,0
0148-DCDOS,Sim,Masculino,Não,Não,Não,25,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Transferência Bancária (Automática),94.7,2362.1,3.1566666666666667,1
0151-ONTOV,Sim,Feminino,Não,Não,Não,1,Sim,Não,Fibra Óptica,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque Enviado,70.9,70.9,2.3633333333333337,1
0156-FVPTA,Sim,Masculino,Não,Sim,Não,22,Sim,Não,DSL,Sim,Não,Não,Sim,Não,Não,Mensal,Sim,Cheque Eletrônico,54.2,1152.7,1.8066666666666669,1
0164-APGRB,Não,Feminino,Não,Não,Não,72,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,2 Anos,Sim,Cheque Eletrônico,114.9,8496.7,3.83,0
0164-XAIRP,Não,Feminino,Não,Não,Não,24,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,2 Anos,Sim,Transferência Bancária (Automática),19.55,470.2,0.6516666666666667,0
0168-XZKBB,Não,Feminino,Não,Sim,Não,19,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Cheque Eletrônico,86.85,1564.4,2.895,0
0174-QRVVY,Não,Masculino,Não,Sim,Sim,71,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,2 Anos,Não,Cartão de Crédito (Automático),25.35,1847.55,0.8450000000000001,0
0177-PXBAT,Não,Masculino,Sim,Sim,Não,33,Sim,Sim,Fibra Óptica,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Transferência Bancária (Automática),109.9,3694.7,3.6633333333333336,0
0178-CIIKR,Não,Feminino,Não,Não,Não,3,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Cheque Enviado,19.95,58,0.6649999999999999,0
0178-SZBHO,Não,Masculino,Não,Sim,Sim,47,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Sim,Não,Mensal,Não,Cheque Eletrônico,87.2,4017.45,2.9066666666666667,0
0181-RITDD,Não,Masculino,Não,Sim,Sim,62,Sim,Não,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,2 Anos,Não,Cheque Enviado,108.15,6825.65,3.605,0
0186-CAERR,Não,Masculino,Não,Não,Não,71,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,1 Ano,Sim,Transferência Bancária (Automática),116.3,8309.55,3.8766666666666665,0
0187-QSXOE,Não,Masculino,Sim,Sim,Não,7,Sim,Não,Fibra Óptica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Cheque Eletrônico,89.0,605.45,2.966666666666667,0
0187-WZNAB,Não,Feminino,Não,Sim,Sim,27,Sim,Não,Fibra Óptica,Sim,Não,Não,Não,Não,Não,Mensal,Não,Cheque Enviado,74.4,1972.35,2.48,0
0188-GWFLE,Não,Masculino,Não,Não,Não,2,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Cheque Enviado,20.05,33.7,0.6683333333333333,0
0191-EQUUH,Não,Feminino,Não,Não,Sim,25,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Não,Não,2 Anos,Não,Transferência Bancária (Automática),35.05,844.45,1.1683333333333332,0
0191-ZHSKZ,Não,Masculino,Sim,Não,Não,30,Sim,Não,DSL,Sim,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque Eletrônico,74.75,2111.3,2.4916666666666667,0
0193-ESZXP,Sim,Feminino,Sim,Sim,Não,58,Sim,Não,Fibra Óptica,Sim,Sim,Não,Sim,Sim,Sim,1 Ano,Sim,Cartão de Crédito (Automático),105.5,6205.5,3.5166666666666666,1
0195-IESCP,Sim,Masculino,Não,Sim,Não,10,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque Eletrônico,85.25,855.3,2.841666666666667,1
0196-JTUQI,Não,Feminino,Não,Não,Não,9,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cartão de Crédito (Automático),75.2,633.85,2.506666666666667,0
0196-VULGZ,Sim,Feminino,Sim,Sim,Não,6,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque Eletrônico,84.35,474.9,2.8116666666666665,1
0197-PNKNK,Não,Feminino,Não,Sim,Sim,69,Sim,Sim,Fibra Óptica,Sim,Não,Sim,Não,Não,Não,1 Ano,Não,Transferência Bancária (Automática),84.45,5848.6,2.815,0
0201-MIBOL,Não,Feminino,Sim,Não,Não,66,Sim,Sim,Fibra Óptica,Sim,Não,Não,Não,Sim,Sim,2 Anos,Sim,Transferência Bancária (Automática),102.4,6471.85,3.4133333333333336,0
0201-OAMXR,Sim,Feminino,Não,Não,Não,70,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,1 Ano,Não,Cartão de Crédito (Automático),115.55,8127.6,3.8516666666666666,1
0203-HHYIJ,Sim,Masculino,Não,Não,Não,25,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,1 Ano,Não,Transferência Bancária (Automática),25.3,676.35,0.8433333333333334,1
0206-OYVOC,Não,Feminino,Não,Sim,Sim,46,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,2 Anos,Sim,Cheque Enviado,19.25,864.2,0.6416666666666667,0
0206-TBWLC,Não,Feminino,Não,Sim,Não,54,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,1 Ano,Sim,Cheque Enviado,114.65,6049.5,3.8216666666666668,0
0207-MDKNV,Sim,Feminino,Não,Não,Não,15,Sim,Não,Fibra Óptica,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Não,Cheque Eletrônico,105.1,1582.75,3.503333333333333,1
0208-BPQEJ,Não,Feminino,Não,Sim,Sim,12,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Transferência Bancária (Automática),19.4,198.1,0.6466666666666666,0
0212-ISBBF,Não,Feminino,Não,Não,Não,22,Não,Sem serviço de telefone,DSL,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque Eletrônico,50.35,1098.85,1.6783333333333335,0
